City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Mataura,NZ,-46.1927,168.8643,40.48,90,99,3.69,overcast clouds
Butaritari,KI,3.0707,172.7902,83.59,71,0,16.89,clear sky
Cherskiy,RU,68.75,161.3,38.55,86,63,6.67,broken clouds
Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,19.57,scattered clouds
Palmer,US,42.1584,-72.3287,72.01,85,20,0.0,few clouds
Barrow,US,71.2906,-156.7887,37.42,93,90,8.05,light rain
Souillac,MU,-20.5167,57.5167,75.58,60,40,8.05,scattered clouds
Kapaa,US,22.0752,-159.319,79.12,83,90,4.0,light rain
San Ramon,US,37.7799,-121.978,60.82,84,1,0.0,clear sky
Pangnirtung,CA,66.1451,-65.7125,46.4,71,90,5.75,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,39.22,87,75,11.5,broken clouds
Vostok,RU,46.4856,135.8833,74.01,74,61,4.21,broken clouds
Jamestown,US,42.097,-79.2353,65.84,88,1,1.99,clear sky
Berezovyy,RU,51.6667,135.7,76.55,68,18,3.6,few clouds
Rikitea,PF,-23.1203,-134.9692,68.63,56,0,5.66,clear sky
Kailua,US,21.4022,-157.7394,78.78,76,75,11.5,broken clouds
Ushuaia,AR,-54.8,-68.3,33.46,93,40,5.75,scattered clouds
Bambous Virieux,MU,-20.3428,57.7575,75.45,60,40,8.05,scattered clouds
Fayaoue,NC,-20.65,166.5333,74.03,85,1,8.55,clear sky
Roswell,US,34.0232,-84.3616,76.39,93,1,0.0,mist
Necochea,AR,-38.5473,-58.7368,48.04,63,96,13.27,overcast clouds
Ilulissat,GL,69.2167,-51.1,46.42,76,75,13.8,broken clouds
Avarua,CK,-21.2078,-159.775,69.85,83,40,2.3,scattered clouds
Kodiak,US,57.79,-152.4072,50.94,99,100,8.05,light rain
Atuona,PF,-9.8,-139.0333,77.68,70,97,15.14,overcast clouds
Bethel,US,41.3712,-73.414,72.84,84,1,1.01,clear sky
College,US,64.8569,-147.8028,61.59,95,90,3.44,moderate rain
Cape Town,ZA,-33.9258,18.4232,68.27,19,0,2.3,clear sky
Hopelchen,MX,19.7667,-89.85,72.68,83,35,2.82,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,49.12,68,0,8.01,clear sky
Hermanus,ZA,-34.4187,19.2345,64.8,47,83,3.04,broken clouds
Agadez,NE,19.75,10.25,106.07,12,6,11.45,clear sky
Albany,US,42.6001,-73.9662,67.42,88,0,2.68,clear sky
Ancud,CL,-41.8697,-73.8203,35.13,82,100,5.26,overcast clouds
High Level,CA,58.5169,-117.136,60.91,77,75,2.3,moderate rain
Yellowknife,CA,62.456,-114.3525,50.52,76,75,5.01,broken clouds
Saldanha,ZA,-33.0117,17.9442,68.05,45,18,2.75,few clouds
Hobart,AU,-42.8794,147.3294,44.26,85,75,1.99,broken clouds
Geraldton,AU,-28.7667,114.6,55.81,88,100,3.44,overcast clouds
Itarema,BR,-2.9248,-39.9167,85.48,48,65,15.03,broken clouds
Lagoa,PT,39.05,-27.9833,70.61,95,10,13.22,clear sky
Iqaluit,CA,63.7506,-68.5145,43.7,81,75,8.99,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,72.55,80,66,5.99,broken clouds
Olinda,BR,-8.0089,-34.8553,78.53,61,40,16.11,scattered clouds
Vila Velha,BR,-20.3297,-40.2925,74.97,67,40,2.3,scattered clouds
Fairbanks,US,64.8378,-147.7164,61.61,95,90,3.44,light rain
Lebu,CL,-37.6167,-73.65,47.8,84,7,5.32,clear sky
Ugoofaaru,MV,5.6667,73.0,83.01,71,100,6.67,moderate rain
Waddan,LY,29.1614,16.139,94.42,18,0,11.32,clear sky
Kendari,ID,-3.945,122.4989,75.09,84,100,1.92,overcast clouds
Saskylakh,RU,71.9167,114.0833,60.15,65,100,3.4,overcast clouds
Yazykovo,RU,55.2199,56.1353,75.43,37,46,6.85,light rain
Hounde,BF,11.5,-3.5167,85.95,51,100,10.27,overcast clouds
Kahului,US,20.8947,-156.47,76.84,92,10,11.01,clear sky
Balkanabat,TM,39.5108,54.3671,102.02,26,0,12.24,clear sky
East London,ZA,-33.0153,27.9116,61.74,59,0,17.27,clear sky
Mogadishu,SO,2.0371,45.3438,82.27,61,75,21.85,light rain
Clyde River,CA,70.4692,-68.5914,34.03,93,90,5.75,overcast clouds
Naze,JP,28.3667,129.4833,78.4,90,100,23.89,light rain
Carnarvon,AU,-24.8667,113.6333,62.67,59,40,6.91,scattered clouds
Ziyang,CN,29.2497,117.8547,75.27,91,60,3.15,broken clouds
Veinticinco De Mayo,AR,-35.4323,-60.1727,50.05,62,100,14.88,overcast clouds
General Pico,AR,-35.6566,-63.7568,46.72,52,0,11.52,clear sky
Georgetown,MY,5.4112,100.3354,85.98,74,20,7.0,few clouds
Pontes E Lacerda,BR,-15.2261,-59.3353,84.15,33,0,4.34,clear sky
Novikovo,RU,51.1537,37.8879,74.61,48,94,7.85,overcast clouds
Khani,GE,41.9563,42.9566,76.57,61,36,6.33,scattered clouds
Kalmunai,LK,7.4167,81.8167,87.71,59,96,5.3,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,42.96,98,100,3.02,overcast clouds
Bonavista,CA,48.6499,-53.1147,62.11,81,62,5.97,broken clouds
Busselton,AU,-33.65,115.3333,54.09,71,100,13.62,overcast clouds
Sobolevo,RU,54.4299,31.8996,70.45,54,96,0.29,overcast clouds
Tikrit,IQ,34.6071,43.6782,111.78,11,0,12.57,clear sky
Slonim,BY,53.0867,25.3219,76.71,48,16,6.15,few clouds
Nanortalik,GL,60.1432,-45.2371,43.57,97,100,10.36,overcast clouds
Dukat,RU,62.55,155.55,50.22,89,100,3.38,overcast clouds
Castro,BR,-24.7911,-50.0119,63.55,49,0,4.99,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,88,75,4.47,broken clouds
Zhovtneve,UA,50.6637,24.2492,76.66,46,51,3.94,broken clouds
Bluff,NZ,-46.6,168.3333,40.8,83,100,11.52,overcast clouds
Kapit,MY,2.0167,112.9333,81.66,72,100,1.12,overcast clouds
Tapa,EE,59.2606,25.9586,69.39,36,28,9.06,scattered clouds
Hithadhoo,MV,-0.6,73.0833,82.92,78,54,14.12,broken clouds
Sinjar,IQ,36.3209,41.8754,102.07,13,0,12.35,clear sky
San Francisco Del Mar,MX,16.2333,-94.65,78.94,77,100,18.68,overcast clouds
Camacha,PT,33.0833,-16.3333,75.96,64,20,14.97,few clouds
Thunder Bay,CA,48.4001,-89.3168,68.99,98,90,5.75,light intensity shower rain
Effingham,US,32.3669,-81.3332,80.83,95,0,6.44,clear sky
Amposta,ES,40.7131,0.581,92.23,38,6,10.16,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,68,0,14.97,clear sky
Mayskiy,RU,47.6931,40.1025,83.61,28,0,7.0,clear sky
Aykhal,RU,66.0,111.5,62.76,55,100,5.44,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,45.72,65,93,14.36,overcast clouds
Dunedin,NZ,-45.8742,170.5036,46.8,76,33,13.0,scattered clouds
Koumac,NC,-20.5667,164.2833,69.67,86,0,4.88,clear sky
Talnakh,RU,69.4865,88.3972,60.98,62,42,19.8,scattered clouds
Edessa,TR,37.1671,38.7939,98.42,10,0,12.55,clear sky
Asau,RO,46.4333,26.4,77.92,41,90,3.51,overcast clouds
Vestmanna,FO,62.1564,-7.1664,52.72,100,90,6.91,overcast clouds
Saint Petersburg,RU,59.8944,30.2642,70.65,40,40,11.18,scattered clouds
Faanui,PF,-16.4833,-151.75,77.86,69,21,14.72,few clouds
Qaanaaq,GL,77.484,-69.3632,38.98,69,30,4.18,scattered clouds
Tiksi,RU,71.6872,128.8694,42.22,90,100,5.97,overcast clouds
Hilo,US,19.7297,-155.09,73.8,95,51,1.99,broken clouds
Bilibino,RU,68.0546,166.4372,45.73,79,93,2.66,overcast clouds
Matara,LK,5.9485,80.5353,78.51,89,100,10.63,overcast clouds
Vaini,TO,-21.2,-175.2,69.96,100,20,0.0,fog
Anzio,IT,41.4853,12.6179,97.74,62,3,7.25,clear sky
Coquimbo,CL,-29.9533,-71.3436,51.53,100,90,3.44,overcast clouds
Hay River,CA,60.8156,-115.7999,57.18,94,90,8.05,moderate rain
New Norfolk,AU,-42.7826,147.0587,43.92,81,100,2.46,light rain
Pierre,US,44.3683,-100.351,73.06,87,1,5.99,clear sky
San Patricio,US,28.017,-97.5169,82.89,85,0,8.63,clear sky
Toccoa,US,34.5773,-83.3324,76.64,94,90,0.0,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,40.93,59,100,4.61,overcast clouds
Salamiyah,SY,35.0113,37.0532,94.24,29,0,20.94,clear sky
Broome,US,42.2506,-75.833,69.19,90,1,1.01,clear sky
Nabire,ID,-3.3667,135.4833,74.1,95,100,2.64,light rain
Gamba,GA,-2.65,10.0,76.71,65,17,10.76,few clouds
Codrington,AU,-38.2667,141.9667,45.84,73,97,23.22,light rain
Haines Junction,CA,60.7522,-137.5108,37.35,100,100,0.0,overcast clouds
Chokwe,MZ,-24.5333,32.9833,67.5,47,95,13.02,overcast clouds
Riverton,US,40.5219,-111.9391,76.3,50,1,4.61,clear sky
Bengkulu,ID,-3.8004,102.2655,79.66,80,4,8.14,clear sky
Tanabi,BR,-20.6264,-49.6492,66.42,30,0,14.56,clear sky
Touros,BR,-5.1989,-35.4608,81.5,56,5,18.61,clear sky
Yerbogachen,RU,61.2767,108.0108,68.56,68,98,4.45,overcast clouds
Carballo,ES,43.213,-8.691,70.56,87,79,8.48,broken clouds
Newport,GB,51.5877,-2.9984,68.16,84,100,12.64,overcast clouds
Boden,SE,65.8252,21.6886,60.8,36,41,6.33,scattered clouds
Qaqortoq,GL,60.7167,-46.0333,46.9,92,100,4.52,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,79,50,6.87,scattered clouds
Hofn,IS,64.2539,-15.2082,53.62,100,90,6.91,mist
Port Alfred,ZA,-33.5906,26.891,62.62,49,0,20.13,clear sky
Kazachinskoye,RU,57.6953,93.2761,75.45,61,0,3.47,clear sky
Half Moon Bay,US,37.4636,-122.4286,60.64,89,90,0.0,overcast clouds
Kavaratti,IN,10.5669,72.642,82.11,83,26,17.81,scattered clouds
Cacapava Do Sul,BR,-30.5122,-53.4914,61.99,62,0,4.63,clear sky
Ust-Nera,RU,64.5667,143.2,60.26,95,100,5.06,light rain
Port Blair,IN,11.6667,92.75,82.47,84,100,18.61,light rain
Mandurah,AU,-32.55,115.7,59.22,71,100,14.38,overcast clouds
Baba Ana,RO,44.9667,26.45,82.67,46,96,3.2,overcast clouds
Abu Dhabi,AE,24.4667,54.3667,111.31,25,97,8.05,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,65.52,34,95,8.05,overcast clouds
Taoudenni,ML,22.6783,-3.9836,112.39,6,8,10.04,clear sky
Sorong,ID,-0.8833,131.25,78.48,85,100,15.86,overcast clouds
Khatanga,RU,71.9667,102.5,63.09,79,100,6.55,overcast clouds
Oriximina,BR,-1.7656,-55.8661,85.17,52,96,4.88,overcast clouds
Makakilo City,US,21.3469,-158.0858,77.32,77,90,0.0,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,76.59,79,54,8.03,broken clouds
Bandarbeyla,SO,9.4942,50.8122,85.82,53,83,29.75,broken clouds
Roma,US,43.2128,-75.4557,69.87,85,1,5.75,clear sky
Dodge City,US,37.7528,-100.0171,72.25,85,1,5.01,clear sky
Acarau,BR,-2.8856,-40.12,85.41,51,55,14.94,broken clouds
Dubbo,AU,-32.25,148.6167,50.13,81,75,12.66,light rain
Mahebourg,MU,-20.4081,57.7,75.49,60,40,8.05,scattered clouds
Sitka,US,57.0531,-135.33,55.29,88,90,8.05,light rain
Yulara,AU,-25.2406,130.9889,53.44,35,85,6.91,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,40.82,86,100,7.23,overcast clouds
Tiznit,MA,29.5833,-9.5,102.87,14,100,4.52,overcast clouds
Polgar,HU,47.8667,21.1167,84.34,28,59,3.91,broken clouds
Arman,RU,59.7,150.1667,52.32,94,100,4.27,overcast clouds
Adrar,MR,20.5022,-10.0711,104.56,15,11,8.41,few clouds
Port Elizabeth,ZA,-33.918,25.5701,64.09,51,0,13.8,clear sky
Isangel,VU,-19.55,169.2667,75.79,86,6,2.08,clear sky
Townsville,AU,-19.25,146.8,70.68,94,0,4.61,clear sky
Aksarka,RU,66.5606,67.7975,67.44,47,36,10.92,scattered clouds
Tura,IN,25.5198,90.2201,77.22,91,3,5.35,clear sky
Oum Hadjer,TD,13.2954,19.6966,95.0,33,76,7.02,broken clouds
Nikolskoye,RU,59.7035,30.7861,70.39,32,9,7.38,clear sky
Sompeta,IN,18.9333,84.6,83.98,81,100,10.58,overcast clouds
San Matias,BO,-16.3667,-58.4,85.3,30,2,7.56,clear sky
Kavieng,PG,-2.5744,150.7967,82.56,77,5,11.03,clear sky
Okha,RU,53.5739,142.9478,59.22,100,99,8.84,overcast clouds
Mtwara,TZ,-10.2667,40.1833,82.9,46,66,19.06,broken clouds
Srednekolymsk,RU,67.45,153.6833,50.27,65,99,8.88,overcast clouds
Luena,AO,-11.7833,19.9167,82.02,19,10,8.84,clear sky
Brooks,CA,50.5834,-111.8851,52.03,77,0,4.61,clear sky
Victoria Point,AU,-27.5833,153.3,59.92,68,0,3.0,clear sky
Newport Beach,US,33.6189,-117.9289,70.59,85,77,1.01,broken clouds
Pingliang,CN,35.5392,106.6861,70.3,81,26,6.93,scattered clouds
Peleduy,RU,59.6289,112.7406,70.54,54,85,3.27,overcast clouds
Gondanglegi,ID,-7.7479,112.0132,74.25,82,6,12.28,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,61,65,5.68,broken clouds
Sivas,TR,39.7916,37.0019,68.63,59,75,20.71,broken clouds
Hambantota,LK,6.1241,81.1185,82.74,89,75,11.5,broken clouds
Kropotkin,RU,45.4375,40.5756,86.67,29,49,2.28,scattered clouds
Lazarev,RU,52.225,141.5131,59.76,100,100,15.64,light rain
Brae,GB,60.3964,-1.353,55.31,76,100,5.95,overcast clouds
Tecoanapa,MX,16.5167,-98.75,76.86,88,75,3.71,broken clouds
Igarka,RU,67.4667,86.5833,68.07,58,99,6.58,overcast clouds
Hasaki,JP,35.7333,140.8333,77.4,82,0,5.48,clear sky
Buchanan,LR,5.8808,-10.0467,82.36,71,100,11.56,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,81.72,66,0,2.89,clear sky
Santander Jimenez,MX,24.2167,-98.4667,74.32,81,0,8.03,clear sky
Orotukan,RU,62.2667,151.7,56.19,81,67,4.5,broken clouds
Leningradskiy,RU,69.3833,178.4167,35.92,95,100,3.38,overcast clouds
Susehri,TR,40.1644,38.0867,74.91,50,56,8.84,broken clouds
Jiayuguan,CN,39.8167,98.3,80.04,42,100,20.11,overcast clouds
Fare,PF,-16.7,-151.0167,77.74,64,6,12.97,clear sky
Karratha,AU,-20.7377,116.8463,73.11,56,19,3.71,few clouds
Darhan,MN,49.4867,105.9228,66.7,63,100,5.14,overcast clouds
Lahat,ID,-3.8,103.5333,74.28,91,31,3.42,scattered clouds
Chitral,PK,35.8462,71.7858,90.97,33,1,9.1,clear sky
Glotovka,RU,53.9491,46.7042,67.33,50,91,8.08,overcast clouds
Khulna,BD,22.8135,89.5672,80.37,93,100,7.96,overcast clouds
Saint George,US,37.1041,-113.5841,79.36,65,40,3.0,scattered clouds
Batemans Bay,AU,-35.7167,150.1833,51.19,69,78,6.73,broken clouds
Komsomolskiy,UZ,40.4272,71.7189,102.92,11,0,4.61,clear sky
Yar-Sale,RU,66.8333,70.8333,62.6,50,100,11.05,overcast clouds
Sandakan,MY,5.8402,118.1179,83.88,89,20,4.61,few clouds
Norman Wells,CA,65.282,-126.8329,53.64,87,75,12.66,broken clouds
Richards Bay,ZA,-28.783,32.0377,62.74,57,6,11.79,clear sky
Kanpur,IN,26.4667,80.35,93.07,54,35,10.45,scattered clouds
Kawalu,ID,-7.3817,108.2082,71.69,92,54,2.04,broken clouds
Caruray,PH,10.3094,119.0128,82.33,80,100,15.23,moderate rain
Shwebo,MM,22.5667,95.7,85.21,69,69,7.85,broken clouds
Ous,RU,60.9058,61.5186,69.73,48,97,7.05,overcast clouds
Charters Towers,AU,-20.1,146.2667,63.81,43,99,11.23,overcast clouds
Provideniya,RU,64.3833,-173.3,48.02,97,100,8.39,overcast clouds
Kihei,US,20.785,-156.4656,77.85,92,14,5.01,few clouds
Urumqi,CN,43.801,87.6005,90.55,19,0,14.81,clear sky
Inirida,CO,3.8653,-67.9239,73.04,98,100,2.15,overcast clouds
Aklavik,CA,68.2191,-135.0107,56.23,49,99,8.48,overcast clouds
Mount Vernon,US,40.9126,-73.8371,76.62,73,20,1.99,few clouds
Sioux Lookout,CA,50.1001,-91.917,66.27,100,75,4.61,mist
Ternate,ID,0.8,127.4,81.64,77,100,7.52,overcast clouds
Isernia,IT,41.6002,14.2382,90.66,28,25,11.92,scattered clouds
Berlevag,NO,70.8578,29.0864,45.91,85,100,27.13,overcast clouds
Tarko-Sale,RU,64.9225,77.785,56.41,95,100,15.52,moderate rain
Morondava,MG,-20.2833,44.2833,79.2,50,0,22.03,clear sky
Airai,TL,-8.9266,125.4092,56.77,51,6,2.95,clear sky
Amapa,BR,1.0,-52.0,82.89,63,20,5.53,few clouds
Haapiti,PF,-17.5667,-149.8667,71.33,60,0,8.16,clear sky
Torbay,CA,47.6666,-52.7314,63.28,82,75,16.11,broken clouds
Saint-Georges,GD,12.0564,-61.7485,83.88,79,75,17.27,broken clouds
Mount Isa,AU,-20.7333,139.5,64.17,32,97,8.05,overcast clouds
Coihaique,CL,-45.5752,-72.0662,30.15,100,40,6.91,scattered clouds
Portland,US,45.5234,-122.6762,65.1,85,1,3.0,clear sky
Nova Prata,BR,-28.7839,-51.61,66.27,45,0,3.89,clear sky
Oksfjord,NO,70.2396,22.3479,55.47,99,100,11.14,overcast clouds
Moses Lake,US,47.1301,-119.2781,63.28,77,1,6.91,clear sky
Mount Gambier,AU,-37.8333,140.7667,42.71,87,75,31.07,light intensity shower rain
Linqiong,CN,30.4159,103.4609,80.42,94,16,4.14,few clouds
Narrabri,AU,-30.3167,149.7833,52.52,76,90,11.5,overcast clouds
Muli,MV,2.9167,73.5667,83.46,74,55,7.83,broken clouds
Bilma,NE,18.6853,12.9164,104.2,22,10,9.75,clear sky
Caravelas,BR,-17.7125,-39.2481,76.91,54,76,10.02,broken clouds
Ziro,IN,27.6333,93.8333,72.34,98,41,2.17,scattered clouds
Lagunas,PE,-5.2269,-75.6753,75.47,71,8,0.72,clear sky
Kapoeta,SS,4.7717,33.5903,79.45,66,97,8.9,light rain
Peace River,CA,56.2501,-117.286,55.71,85,20,4.0,few clouds
Biloela,AU,-24.4167,150.5,55.53,51,0,4.99,clear sky
Arlit,NE,18.7369,7.3853,98.89,29,6,7.27,clear sky
Fershampenuaz,RU,53.5202,59.8117,72.32,59,94,6.53,overcast clouds
Goure,NE,13.9835,10.2704,88.02,58,96,13.04,overcast clouds
Hazorasp,UZ,41.3194,61.0742,103.84,6,0,10.92,clear sky
Poum,NC,-20.2333,164.0167,72.84,85,9,8.1,clear sky
Santa Fe,AR,-31.6333,-60.7,63.0,69,99,4.0,overcast clouds
Kismayo,SO,-0.3582,42.5454,79.11,68,77,23.35,broken clouds
Barsovo,RU,61.1667,73.1667,64.53,93,100,7.58,overcast clouds
Abha,SA,18.2164,42.5053,82.22,28,40,11.5,scattered clouds
Harper,LR,4.375,-7.7169,79.18,65,100,8.63,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,54.59,94,90,12.66,fog
Codajas,BR,-3.8367,-62.0569,79.56,80,88,1.34,overcast clouds
Yamada,JP,39.4667,141.95,72.72,96,33,6.4,scattered clouds
Grand Island,US,40.925,-98.342,73.35,71,1,3.0,clear sky
Bucerias,MX,20.75,-105.3333,77.99,94,75,4.61,broken clouds
Arica,CL,-18.475,-70.3042,59.23,82,90,2.3,overcast clouds
Zvishavane,ZW,-20.3267,30.0665,55.0,54,100,12.62,overcast clouds
Mahibadhoo,MV,3.7833,72.9667,82.42,74,87,3.02,overcast clouds
Garowe,SO,8.4054,48.4845,84.43,39,100,29.77,overcast clouds
Dhamnod,IN,22.2167,75.4667,79.77,73,100,13.47,overcast clouds
Veraval,IN,20.9,70.3667,82.9,84,100,16.51,overcast clouds
Maarianhamina,AX,60.0973,19.9348,69.66,46,0,9.22,clear sky
Shimoda,JP,34.6667,138.95,76.1,82,1,5.19,clear sky
Victoria,HK,22.2855,114.1577,90.21,80,78,1.01,broken clouds
Thompson,CA,55.7435,-97.8558,57.36,88,40,9.22,scattered clouds
Banda Aceh,ID,5.5577,95.3222,82.0,79,99,13.47,overcast clouds
Cidreira,BR,-30.1811,-50.2056,65.39,56,0,2.19,clear sky
Shubarshi,KZ,48.5872,57.1869,83.84,41,96,14.81,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,50.97,66,62,29.75,broken clouds
Klaksvik,FO,62.2266,-6.589,54.52,93,65,20.96,broken clouds
Parkent,UZ,41.2944,69.6764,103.82,9,0,15.03,clear sky
Ondjiva,AO,-17.0667,15.7333,80.47,7,0,8.75,clear sky
Vilhena,BR,-12.7406,-60.1458,75.42,57,0,6.91,clear sky
Ballina,AU,-28.8667,153.5667,57.78,58,0,14.97,clear sky
Kirakira,SB,-10.4544,161.9205,79.45,86,49,6.98,scattered clouds
Fuerte Olimpo,PY,-21.0415,-57.8738,83.44,27,0,10.4,clear sky
Chokurdakh,RU,70.6333,147.9167,36.55,87,17,13.22,few clouds
Bunia,CD,1.5667,30.25,65.17,80,100,2.33,overcast clouds
Muros,ES,42.7762,-9.0603,70.68,74,21,7.76,few clouds
Ninghai,CN,29.2892,121.4247,78.48,94,100,19.95,moderate rain
Husavik,IS,66.0449,-17.3389,69.71,59,87,16.87,overcast clouds
Tallahassee,US,30.4383,-84.2807,75.61,96,90,0.0,fog
Vershino-Darasunskiy,RU,52.35,115.5167,56.17,73,90,9.17,overcast clouds
Altay,CN,47.8667,88.1167,79.57,35,1,11.18,clear sky
Pevek,RU,69.7008,170.3133,36.73,94,73,4.45,broken clouds
Buala,SB,-8.145,159.5921,80.28,80,64,4.43,broken clouds
Nemuro,JP,43.3236,145.575,62.29,96,37,10.33,scattered clouds
De-Kastri,RU,51.4667,140.7833,63.48,98,42,5.17,scattered clouds
Tahoua,NE,14.8888,5.2692,89.4,48,17,14.05,few clouds
Timra,SE,62.487,17.3257,76.68,36,58,8.05,broken clouds
Thinadhoo,MV,0.5333,72.9333,83.07,72,99,4.27,moderate rain
Praia Da Vitoria,PT,38.7333,-27.0667,74.75,94,75,13.98,broken clouds
Gizo,SB,-8.103,156.8419,82.36,76,44,5.01,scattered clouds
Constitucion,CL,-35.3333,-72.4167,51.55,86,98,11.36,overcast clouds
Alkhan-Kala,RU,43.25,45.53,80.65,62,96,7.63,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,75.6,57,24,7.0,few clouds
Maun,BW,-19.9833,23.4167,74.43,25,0,10.42,clear sky
Crawfordsville,US,40.0411,-86.8745,74.5,94,40,0.0,mist
Dikson,RU,73.5069,80.5464,38.25,98,100,23.11,light rain
Zhezkazgan,KZ,47.8043,67.7144,98.44,13,42,7.9,scattered clouds
Cervo,ES,43.6702,-7.4101,69.19,76,28,16.42,scattered clouds
Kasongo-Lunda,CD,-6.4667,16.8167,96.39,14,0,3.53,clear sky
Sur,OM,22.5667,59.5289,98.58,46,68,2.84,broken clouds
Male,MV,4.1748,73.5089,84.15,79,75,6.91,broken clouds
Sawtell,AU,-30.3833,153.1,55.42,54,0,8.05,clear sky
Meiktila,MM,20.8667,95.8667,80.02,81,93,15.21,overcast clouds
Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,9.22,broken clouds
Rocha,UY,-34.4833,-54.3333,60.08,82,100,5.99,overcast clouds
Nantucket,US,41.2835,-70.0995,73.04,89,0,6.58,clear sky
Mattru,SL,7.6244,-11.8332,76.48,91,100,5.23,moderate rain
Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,86,75,17.27,broken clouds
Pahrump,US,36.2083,-115.9839,83.84,32,100,3.0,overcast clouds
Sibolga,ID,1.7427,98.7792,78.89,84,100,2.64,overcast clouds
Hirara,JP,24.8,125.2833,83.97,80,100,27.67,light rain
Saint-Pierre,RE,-21.3393,55.4781,75.29,60,90,14.97,overcast clouds
San Juan,AR,-31.5375,-68.5364,50.52,41,1,4.0,clear sky
Tezu,IN,27.9167,96.1667,79.02,97,100,3.58,overcast clouds
Diffa,NE,13.3154,12.6113,92.1,41,39,13.56,scattered clouds
Namibe,AO,-15.1961,12.1522,73.87,57,0,9.64,clear sky
